t,w_x,w_y,w_z,phi,theta,psi,x,y,z,v_x,v_y,v_z
0,0,0,0.314159265,0,-1.570796327,0,0,0,0,0,0,0
0.096032011,-1.82E-05,1.64E-05,0.314429076,-7.72E-07,-1.570797215,0.030182301,1.20E-10,9.22E-04,-1.35E-10,4.98E-09,0.019206402,-5.66E-09
0.192064021,-3.68E-05,3.24E-05,0.314698888,-2.99E-06,-1.57079996,0.060390513,1.84E-09,0.003688859,-2.23E-09,3.89E-08,0.038412804,-4.60E-08
0.288096032,-5.56E-05,4.82E-05,0.314968699,-6.52E-06,-1.570804675,0.090624635,9.33E-09,0.008299932,-1.13E-08,1.28E-07,0.057619206,-1.58E-07
0.384128043,-7.47E-05,6.36E-05,0.31523851,-1.12E-05,-1.570811464,0.120884668,2.91E-08,0.014755435,-3.61E-08,2.97E-07,0.076825609,-3.80E-07
0.480160053,-9.41E-05,7.86E-05,0.315508321,-1.69E-05,-1.570820423,0.151170611,6.95E-08,0.023055368,-8.91E-08,5.64E-07,0.096032011,-7.53E-07
0.576192064,-1.14E-04,9.33E-05,0.315778132,-2.34E-05,-1.570831634,0.181482464,1.31E-07,0.033199729,-1.92E-07,9.50E-07,0.115238413,-1.31E-06
0.672224075,-1.34E-04,0.000107671,0.316047943,-3.05E-05,-1.570845174,0.211820228,2.13E-07,0.045188521,-3.75E-07,1.47E-06,0.134444815,-2.10E-06
0.768256085,-1.54E-04,0.000121662,0.316317754,-3.82E-05,-1.57086111,0.242183903,3.40E-07,0.059021741,-6.57E-07,2.13E-06,0.153651217,-3.17E-06
0.864288096,-1.75E-04,0.000135289,0.316587565,-4.62E-05,-1.570879498,0.272573487,5.38E-07,0.074699391,-1.07E-06,2.94E-06,0.172857619,-4.57E-06
0.960320107,-1.95E-04,0.000148547,0.316857376,-5.42E-05,-1.570900385,0.302988982,8.28E-07,0.09222147,-1.63E-06,3.91E-06,0.192064021,-6.35E-06
1.056352117,-2.16E-04,0.00016143,0.317127187,-6.22E-05,-1.570923804,0.333430388,1.23E-06,0.111587979,-2.39E-06,5.03E-06,0.211270423,-8.56E-06
1.152384128,-2.37E-04,0.000173933,0.317396998,-6.99E-05,-1.570949778,0.363897703,1.76E-06,0.132798917,-3.38E-06,6.30E-06,0.230476825,-1.13E-05
1.248416139,-2.59E-04,0.000186052,0.317666809,-7.71E-05,-1.570978319,0.394390929,2.43E-06,0.155854285,-4.64E-06,7.71E-06,0.249683227,-1.45E-05
1.344448149,-2.81E-04,0.000197781,0.31793662,-8.36E-05,-1.571009425,0.424910065,3.26E-06,0.180754082,-6.24E-06,9.26E-06,0.268889629,-1.83E-05
1.44048016,-3.03E-04,0.000209117,0.318206431,-8.93E-05,-1.571043085,0.455455112,4.25E-06,0.207498308,-8.22E-06,1.09E-05,0.28809603,-2.27E-05
1.536512171,-3.25E-04,0.000220054,0.318476242,-9.40E-05,-1.571079274,0.486026069,5.42E-06,0.236086964,-1.07E-05,1.27E-05,0.307302432,-2.78E-05
1.632544181,-0.000347081,0.000230587,0.318746052,-9.74E-05,-1.57111796,0.516622937,6.76E-06,0.266520049,-1.36E-05,1.45E-05,0.326508833,-3.36E-05
1.728576192,-0.000369627,0.000240714,0.319015863,-9.94E-05,-1.571159094,0.547245715,8.28E-06,0.298797564,-1.71E-05,1.64E-05,0.345715234,-4.02E-05
1.824608203,-0.000392364,0.000250429,0.319285674,-9.98E-05,-1.571202619,0.577894405,9.98E-06,0.332919507,-2.13E-05,1.83E-05,0.364921634,-4.76E-05
1.920640213,-0.000415287,0.000259728,0.319555484,-9.84E-05,-1.571248465,0.608569006,1.19E-05,0.36888588,-2.62E-05,2.02E-05,0.384128035,-5.59E-05
2.016672224,-0.000438386,0.000268608,0.319825295,-9.50E-05,-1.571296553,0.639269519,1.39E-05,0.406696682,-3.20E-05,2.21E-05,0.403334435,-6.50E-05
2.112704235,-0.000461654,0.000277065,0.320095105,-8.95E-05,-1.571346789,0.669995943,1.61E-05,0.446351914,-3.86E-05,2.39E-05,0.422540834,-7.51E-05
2.208736245,-0.000485085,0.000285095,0.320364916,-8.16E-05,-1.571399069,0.70074828,1.85E-05,0.487851574,-4.63E-05,2.55E-05,0.441747233,-8.62E-05
2.304768256,-0.000508668,0.000292695,0.320634726,-7.13E-05,-1.571453278,0.731526529,2.10E-05,0.531195664,-5.51E-05,2.70E-05,0.460953631,-9.82E-05
2.400800267,-0.000532397,0.000299861,0.320904536,-5.82E-05,-1.57150929,0.762330691,2.37E-05,0.576384182,-6.52E-05,2.82E-05,0.480160029,-1.11E-04
2.496832277,-0.000556264,0.000306591,0.321174347,-4.23E-05,-1.571566966,0.793160766,2.64E-05,0.62341713,-7.65E-05,2.92E-05,0.499366425,-1.26E-04
2.592864288,-0.000580261,0.00031288,0.321444157,-2.34E-05,-1.571626178,0.824016754,2.92E-05,0.672294506,-8.93E-05,2.98E-05,0.518572821,-1.41E-04
2.688896299,-0.000604379,0.000318727,0.321713967,-1.34E-06,-1.571686779,0.854898656,3.21E-05,0.723016311,-1.04E-04,3.01E-05,0.537779217,-1.57E-04
2.784928309,-0.000628609,0.000324128,0.321983777,2.40E-05,-1.571748585,0.885806473,3.49E-05,0.775582545,-1.20E-04,2.99E-05,0.556985611,-1.75E-04
2.88096032,-0.000652945,0.00032908,0.322253587,5.27E-05,-1.571811408,0.916740206,3.77E-05,0.829993207,-1.37E-04,2.92E-05,0.576192003,-1.94E-04
2.976992331,-0.000677376,0.000333581,0.322523397,8.51E-05,-1.571875056,0.947699855,4.04E-05,0.886248298,-1.57E-04,2.79E-05,0.595398395,-2.14E-04
3.073024341,-0.000701894,0.000337628,0.322793207,0.000121015,-1.571939332,0.97868542,4.29E-05,0.944347817,-1.78E-04,2.59E-05,0.614604785,-2.36E-04
3.169056352,-0.000726491,0.000341219,0.323063017,0.000160743,-1.572004035,1.009696903,4.52E-05,1.004291764,-2.02E-04,2.32E-05,0.633811174,-2.58E-04
3.265088363,-0.000751158,0.000344352,0.323332827,0.000204325,-1.572068958,1.040734303,4.73E-05,1.066080139,-2.28E-04,1.97E-05,0.653017561,-2.82E-04
3.361120373,-0.000775886,0.000347025,0.323602637,0.000251839,-1.572133891,1.071797622,4.89E-05,1.129712943,-2.56E-04,1.53E-05,0.672223946,-3.07E-04
3.457152384,-0.000800666,0.000349235,0.323872446,0.000303351,-1.572198619,1.102886861,5.01E-05,1.195190174,-2.87E-04,9.98E-06,0.69143033,-3.33E-04
3.553184395,-0.00082549,0.000350983,0.324142256,0.000358914,-1.572262921,1.134002019,5.08E-05,1.262511832,-3.20E-04,3.60E-06,0.710636711,-3.61E-04
3.649216405,-0.000850349,0.000352265,0.324412066,0.00041857,-1.572326574,1.165143096,5.08E-05,1.331677918,-3.57E-04,-3.88E-06,0.72984309,-3.90E-04
3.745248416,-0.000875233,0.000353081,0.324681875,0.000482348,-1.572389349,1.196310095,5.01E-05,1.402688431,-3.95E-04,-1.25E-05,0.749049467,-4.20E-04
3.841280427,-0.000900134,0.00035343,0.324951685,0.000550265,-1.572451011,1.227503014,4.85E-05,1.475543371,-4.37E-04,-2.25E-05,0.768255841,-4.51E-04
3.937312437,-0.000925043,0.00035331,0.325221494,0.000622327,-1.572511324,1.258721854,4.58E-05,1.550242738,-4.82E-04,-3.37E-05,0.787462213,-4.83E-04
4.033344448,-0.000949951,0.000352721,0.325491304,0.000698526,-1.572570043,1.289966616,4.20E-05,1.62678653,-5.30E-04,-4.64E-05,0.806668581,-5.17E-04
