,i_x,i_y,i_z,t_x,t_y,t_z,r1,r2,r3,r1dot,r2dot,r3dot,u1,u2,u3,t
0,-24761.010094939924,35845.572560118366,11804.323332172085,5540.65852314599,16181.876932651643,-46983.486056979695,-24761.010095,35845.57256,11804.323332,-1.6068571446,-0.079354187679,0.29751122741,0.0,0.0,0.0,0.0
1,-26014.535172009502,35732.83923484537,12026.514950688594,6267.223702325777,18161.32064106103,-46161.546112566444,-26030.979633,35683.833837,12023.650991,-1.5842869987,-0.20176905762,0.27361125413,8e-05,4.4358928526e-06,-2.0146533153e-05,801.6032064128257
2,-27198.722833248466,35524.8328631895,12216.64544589634,6980.949480130479,20103.55798995206,-45245.03619510677,-27282.202652,35425.146536,12223.638111,-1.5609007158,-0.32271240721,0.24948393285,8e-05,9.1040818669e-06,-1.8820618551e-05,1603.2064128256513
3,-28313.068710141677,35225.57903716652,12375.400645289727,7680.373570115556,22004.609709148637,-44235.83403232348,-28513.910269,35070.583372,12404.046456,-1.5365552521,-0.44231754679,0.22505941041,8e-05,1.3444739622e-05,-1.7548043803e-05,2404.809619238477
4,-29356.913976061962,34838.5928315647,12503.33685934417,8364.063094256702,23860.581201420984,-43136.007137940505,-29725.219522,34621.146843,12564.590002,-1.5111082936,-0.56067207055,0.20027807368,8e-05,1.7485474959e-05,-1.6323162096e-05,3206.4128256513027
5,-30329.433007873835,34366.947772562715,12600.891911364975,9030.617394907944,25667.67018433028,-41947.808699125315,-30914.599897,34077.800144,12704.941697,-1.4837520182,-0.67782500723,0.17508873855,7.9178142919e-05,2.1249747165e-05,-1.5141184747e-05,4008.0160320641285
6,-31229.620222011825,33813.332110608266,12668.3935338041,9678.670919644865,27422.174521759993,-40673.67294644222,-32079.090781,33441.490937,12824.738003,-1.4527023775,-0.79379573493,0.14944589235,7.6296130132e-05,2.4757573886e-05,-1.3998035914e-05,4809.619238476954
7,-32056.2753465897,33180.09491169791,12706.065476896683,10306.896015557162,29120.499799061196,-39316.21015146179,-33215.608847,32713.173189,12923.582955,-1.4178062866,-0.90857639143,0.12330907798,7.3398668065e-05,2.8026091655e-05,-1.2890237832e-05,5611.22244488978
8,-32807.986380088536,32469.283730558644,12714.031527123245,10914.00562683796,30759.16662373115,-37878.20119440357,-34320.947907,31893.82763,13001.051843,-1.3789104778,-1.022133585,0.096642436844,7.0486177117e-05,3.1069997345e-05,-1.1814819921e-05,6412.825651302605
9,-33483.10963868014,31682.676178592363,12692.317769511412,11498.756031572388,32334.818037172266,-36362.59229742585,-35391.778026,30984.481318,13056.694638,-1.3358605732,-1.1344095239,0.069414387672,6.7558321604e-05,3.3901905441e-05,-1.0769245806e-05,7214.428857715431
10,-34079.74601424374,30821.805946512253,12640.853031837953,12059.949278362245,33844.226076822895,-34772.48853636878,-36424.644578,29986.226687,13090.039268,-1.2885010244,-1.2453226521,0.041597425509,6.4614944966e-05,3.6532639249e-05,-9.7513544859e-06,8016.032064128257
11,-34595.712565541704,29887.9847014319,12559.467616340326,12596.435643417328,35284.298394060155,-33111.147329982625,-37415.967367,28900.24043,13100.594803,-1.2366751794,-1.3547678555,0.013168030319,6.1656067671e-05,3.8971469863e-05,-8.7593127759e-06,8817.635270541083
12,-35028.50832045063,28882.320599916835,12447.890244809689,13107.116042764586,36652.084754876705,-31381.972227339567,-38362.039911,27727.802522,13087.854666,-1.1802254978,-1.4626162909,-0.015893321042,5.8681888543e-05,4.122631352e-05,-7.7915768455e-06,9619.238476953908
13,-35375.27291147914,27805.734142698744,12305.743090062102,13590.944253779271,37944.7829973539,-29588.505748755728,-39259.02904,26470.315647,13051.299923,-1.1189939387,-1.5687148754,-0.045602042433,5.5692789756e-05,4.3303895677e-05,-6.8468611512e-06,10420.841683366734
14,-35632.73604584814,26658.97216184086,12132.534658518796,14046.929057296864,39159.74476719084,-27734.422043414346,-40102.974974,25129.325292,12990.402748,-1.0528225532,-1.672885468,-0.075969225609,5.2689345458e-05,4.5209888351e-05,-5.92411345e-06,11222.44488977956
15,-35797.15568788117,25442.620442664665,11927.650208379866,14474.136303361662,40294.48104463747,-25823.519606293226,-40889.792064,23706.540706,12904.630143,-0.98155431938,-1.7749237708,-0.10700132456,4.9672334051e-05,4.6949025988e-05,-5.0224948586e-06,12024.048096192386
16,-35864.24165655729,24157.115962555104,11690.339252493728,14871.69079644647,41346.6671598543,-23859.71323210853,-41615.270434,22203.856958,12793.447993,-0.90503426594,-1.8745979761,-0.13869973248,4.6642754159e-05,4.8525204143e-05,-4.1413641379e-06,12825.65130260521
17,-35829.060330869856,22802.75966207334,11419.69948527776,15238.77806654281,42314.14749825107,-21847.02614303212,-42275.078801,20623.378253,12656.325552,-0.82311093774,-1.9716471852,-0.17106024518,4.3601844416e-05,4.9941564527e-05,-3.2802655427e-06,13627.254509018036
18,-35685.91478639138,21379.73108659274,11114.65628870456,15574.646077872198,43194.94002464853,-19789.581636691222,-42864.768794,18967.442675,12492.740459,-0.73563826692,-2.0657796336,-0.20407240335,4.0551107231e-05,5.1200569445e-05,-2.4389196976e-06,14428.857715430862
19,-35428.19196774834,19888.106906359633,10773.936573283092,15878.606738558306,43987.24026155499,-17691.594781697087,-43379.781157,17238.648478,12302.184383,-0.64247792241,-2.1566707603,-0.23771870532,3.7492336695e-05,5.2304068285e-05,-1.6172170456e-06,15230.460921843687
20,-35048.165992243965,18327.886151738036,10396.035382632723,16150.03734199392,44689.42506985503,-15557.363627156132,-43815.45428,15439.882002,12084.169407,-0.54350222067,-2.2439611782,-0.27197368182,3.4427650826e-05,5.3253358451e-05,-8.1521347302e-07,16032.064128256514
